| Provider                | DoH URL                                                | Notes                                      |
|-------------------------|--------------------------------------------------------|--------------------------------------------|
| Cloudflare              | https://cloudflare-dns.com/dns-query                  | No filtering, DNSSEC, IPv6 support         |
| Cloudflare (Mozilla)    | https://mozilla.cloudflare-dns.com/dns-query          | Same as above, Mozilla-specific endpoint   |
| Google Public DNS       | https://dns.google/dns-query                          | No filtering, DNSSEC, IPv6 support         |
| Quad9                   | https://dns.quad9.net/dns-query                       | Malware filtering, DNSSEC, no logs         |
| AdGuard Default         | https://dns.adguard.com/dns-query                     | Blocks ads and trackers                    |
| AdGuard Family          | https://dns-family.adguard.com/dns-query              | Blocks ads + adult content                 |
| CleanBrowsing Family    | https://doh.cleanbrowsing.org/doh/family-filter/      | Strict adult content filter                |
| CleanBrowsing Adult     | https://doh.cleanbrowsing.org/doh/adult-filter/       | Moderate adult filter                      |
| CleanBrowsing Security  | https://doh.cleanbrowsing.org/doh/security-filter/    | Malware + phishing protection              |
| NextDNS                 | https://dns.nextdns.io/<PROFILE_ID>                   | Customizable filters, logging              |
| DNS.SB                  | https://doh.dns.sb/dns-query                          | No filtering                               |
| BlahDNS (Germany)       | https://doh-de.blahdns.com/dns-query                  | Blocks ads, trackers, malware              |
| BlahDNS (Japan)         | https://doh-jp.blahdns.com/dns-query                  | Same filters, different region             |
| Mullvad (Privacy DNS)   | https://doh.mullvad.net/dns-query                     | No logs, privacy-focused                   |
| LibreDNS               | https://doh.libredns.gr/dns-query                      | No logs, open-source service               |
| Digitale Gesellschaft   | https://dns.digitale-gesellschaft.ch/dns-query        | Based in Switzerland, no logs              |
| CIRA Canadian Shield    | https://protected.canadianshield.cira.ca/dns-query    | Malware filtering, CDN-backed              |
| OpenDNS (Cisco)         | https://doh.opendns.com/dns-query                     | Requires Cisco account                     |
| Snopyta DNS             | https://doh.snopyta.org/dns-query                     | Privacy-focused, no logs                   |
| Surfnet (NL)            | https://dnsovertls3.sinodun.com/dns-query             | Academic/ISP DNS                           |
| Secretchip (RO)		  | https://dns.secretchip.net/dns-query				  | 										   |
